str_idx,chunk_id,chunk,processed_chunk
CHAPTER ONE,10,"""And finally, bird-watchers everywhere have reported that the nation's owls have been behaving very unusually today. Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise. Experts are unable to explain why the owls have suddenly changed their sleeping pattern."" The newscaster allowed himself a grin. ""Most mysterious. And now, over to Jim McGuffin with the weather. Going to be any more showers of owls tonight, Jim?""

""Well, Ted,"" said the weatherman, ""I don't know about that, but it's not only the owls that have been acting oddly today. Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they've had a downpour of shooting stars! Perhaps people have been celebrating Bonfire Night early -- it's not until next week, folks! But I can promise a wet night tonight.""","and finally , birdwatcher everywhere have report that the nation owl have be behave very unusually today . although owl normally hunt at night and be hardly ever see in daylight , there have be hundred of sighting of these bird fly in every direction since sunrise . expert be unable to explain why the owl have suddenly change their sleeping pattern . the newscaster allow himself a grin . most mysterious . and now , over to jim mcguffin with the weather . go to be any more shower of owl tonight , jim ? well , te , say the weatherman , I do not know about that , but its not only the owl that have be act oddly today . viewer as far apart as kent , yorkshire , and dundee have be phone in to tell I that instead of the rain I promise yesterday , they ve have a downpour of shoot star ! perhaps people have be celebrate bonfire night early its not until next week , folk ! but I can promise a wet night tonight ."
CHAPTER ONE,11,"Mr. Dursley sat frozen in his armchair. Shooting stars all over Britain? Owls flying by daylight? Mysterious people in cloaks all over the place? And a whisper, a whisper about the Potters...

Mrs. Dursley came into the living room carrying two cups of tea. It was no good. He'd have to say something to her. He cleared his throat nervously. ""Er -- Petunia, dear -- you haven't heard from your sister lately, have you?""

As he had expected, Mrs. Dursley looked shocked and angry. After all, they normally pretended she didn't have a sister.

""No,"" she said sharply. ""Why?""

""Funny stuff on the news,"" Mr. Dursley mumbled. ""Owls... shooting stars... and there were a lot of funny-looking people in town today...""

""So?"" snapped Mrs. Dursley.

""Well, I just thought... maybe... it was something to do with... you know... her crowd.""","mr . dursley sit frozen in his armchair . shoot star all over britain ? owl fly by daylight ? mysterious people in cloak all over the place ? and a whisper , a whisper about the potter ... mrs . dursley come into the living room carry two cup of tea . it be no good . he d have to say something to she . he clear his throat nervously . er petunia , dear you have not hear from your sister lately , have you ? as he have expect , mrs . dursley look shocked and angry . after all , they normally pretend she do not have a sister . no , she say sharply . why ? funny stuff on the news , mr . dursley mumble . owl ... shoot star ... and there be a lot of funnylooke people in town today ... so ? snap mrs . dursley . well , I just think ... maybe ... it be something to do with ... you know ... her crowd ."
CHAPTER ONE,12,"Mrs. Dursley sipped her tea through pursed lips. Mr. Dursley wondered whether he dared tell her he'd heard the name ""Potter."" He decided he didn't dare. Instead he said, as casually as he could, ""Their son -- he'd be about Dudley's age now, wouldn't he?""

""I suppose so,"" said Mrs. Dursley stiffly.

""What's his name again? Howard, isn't it?""

""Harry. Nasty, common name, if you ask me.""

""Oh, yes,"" said Mr. Dursley, his heart sinking horribly. ""Yes, I quite agree.""

He didn't say another word on the subject as they went upstairs to bed. While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden. The cat was still there. It was staring down Privet Drive as though it were waiting for something.

Was he imagining things? Could all this have anything to do with the Potters? If it did... if it got out that they were related to a pair of -- well, he didn't think he could bear it.","mrs . dursley sip her tea through purse lip . mr . dursley wonder whether he dared tell she he d hear the name potter . he decide he do not dare . instead he say , as casually as he could , their son he d be about dudley age now , would not he ? I suppose so , say mrs . dursley stiffly . what s his name again ? howard , be not it ? harry . nasty , common name , if you ask I . oh , yes , say mr . dursley , his heart sink horribly . yes , I quite agree . he do not say another word on the subject as they go upstairs to bed . while mrs . dursley be in the bathroom , mr . dursley creep to the bedroom window and peer down into the front garden . the cat be still there . it be stare down privet drive as though it be wait for something . be he imagine thing ? could all this have anything to do with the potter ? if it do ... if it get out that they be relate to a pair of well , he do not think he could bear it ."
CHAPTER ONE,13,"The Dursleys got into bed. Mrs. Dursley fell asleep quickly but Mr. Dursley lay awake, turning it all over in his mind. His last, comforting thought before he fell asleep was that even if the Potters were involved, there was no reason for them to come near him and Mrs. Dursley. The Potters knew very well what he and Petunia thought about them and their kind.... He couldn't see how he and Petunia could get mixed up in anything that might be going on -- he yawned and turned over -- it couldn't affect them....

How very wrong he was.

Mr. Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness. It was sitting as still as a statue, its eyes fixed unblinkingly on the far corner of Privet Drive. It didn't so much as quiver when a car door slammed on the next street, nor when two owls swooped overhead. In fact, it was nearly midnight before the cat moved at all.","the dursley get into bed . mrs . dursley fall asleep quickly but mr . dursley lie awake , turn it all over in his mind . his last , comfort thought before he fall asleep be that even if the potter be involve , there be no reason for they to come near he and mrs . dursley . the potter know very well what he and petunia think about they and their kind .... he could not see how he and petunia could get mix up in anything that might be go on he yawn and turn over it could not affect they .... how very wrong he be . mr . dursley might have be drift into an uneasy sleep , but the cat on the wall outside be show no sign of sleepiness . it be sit as still as a statue , its eye fix unblinkingly on the far corner of privet drive . it do not so much as quiver when a car door slam on the next street , nor when two owl swoop overhead . in fact , it be nearly midnight before the cat move at all ."
CHAPTER ONE,14,"A man appeared on the corner the cat had been watching, appeared so suddenly and silently you'd have thought he'd just popped out of the ground. The cat's tail twitched and its eyes narrowed.

Nothing like this man had ever been seen on Privet Drive. He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt. He was wearing long robes, a purple cloak that swept the ground, and high-heeled, buckled boots. His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice. This man's name was Albus Dumbledore.","a man appear on the corner the cat have be watch , appear so suddenly and silently you d have think he d just pop out of the ground . the cat tail twitch and its eye narrow . nothing like this man have ever be see on privet drive . he be tall , thin , and very old , judge by the silver of his hair and beard , which be both long enough to tuck into his belt . he be wear long robe , a purple cloak that sweep the ground , and highheele , buckle boot . his blue eye be light , bright , and sparkle behind halfmoon spectacle and his nose be very long and crooked , as though it have be break at least twice . this mans name be albus dumbledore ."
CHAPTER ONE,15,"Albus Dumbledore didn't seem to realize that he had just arrived in a street where everything from his name to his boots was unwelcome. He was busy rummaging in his cloak, looking for something. But he did seem to realize he was being watched, because he looked up suddenly at the cat, which was still staring at him from the other end of the street. For some reason, the sight of the cat seemed to amuse him. He chuckled and muttered, ""I should have known.""","albus dumbledore do not seem to realize that he have just arrive in a street where everything from his name to his boot be unwelcome . he be busy rummage in his cloak , look for something . but he do seem to realize he be be watch , because he look up suddenly at the cat , which be still stare at he from the other end of the street . for some reason , the sight of the cat seem to amuse he . he chuckle and mutter , I should have know ."
CHAPTER ONE,16,"He found what he was looking for in his inside pocket. It seemed to be a silver cigarette lighter. He flicked it open, held it up in the air, and clicked it. The nearest street lamp went out with a little pop. He clicked it again -- the next lamp flickered into darkness. Twelve times he clicked the Put-Outer, until the only lights left on the whole street were two tiny pinpricks in the distance, which were the eyes of the cat watching him. If anyone looked out of their window now, even beady-eyed Mrs. Dursley, they wouldn't be able to see anything that was happening down on the pavement. Dumbledore slipped the Put-Outer back inside his cloak and set off down the street toward number four, where he sat down on the wall next to the cat. He didn't look at it, but after a moment he spoke to it.

""Fancy seeing you here, Professor McGonagall.""","he find what he be look for in his inside pocket . it seem to be a silver cigarette light . he flick it open , hold it up in the air , and click it . the near street lamp go out with a little pop . he click it again the next lamp flicker into darkness . twelve time he click the putouter , until the only light leave on the whole street be two tiny pinprick in the distance , which be the eye of the cat watch he . if anyone look out of their window now , even beadyeye mrs . dursley , they would not be able to see anything that be happen down on the pavement . dumbledore slip the putouter back inside his cloak and set off down the street toward number four , where he sit down on the wall next to the cat . he do not look at it , but after a moment he speak to it . fancy see you here , professor mcgonagall ."
CHAPTER ONE,17,"He turned to smile at the tabby, but it had gone. Instead he was smiling at a rather severe-looking woman who was wearing square glasses exactly the shape of the markings the cat had had around its eyes. She, too, was wearing a cloak, an emerald one. Her black hair was drawn into a tight bun. She looked distinctly ruffled.

""How did you know it was me?"" she asked.

""My dear Professor, I 've never seen a cat sit so stiffly.""

""You'd be stiff if you'd been sitting on a brick wall all day,"" said Professor McGonagall.

""All day? When you could have been celebrating? I must have passed a dozen feasts and parties on my way here.""

Professor McGonagall sniffed angrily.","he turn to smile at the tabby , but it have go . instead he be smile at a rather severelooking woman who be wear square glass exactly the shape of the marking the cat have have around its eye . she , too , be wear a cloak , an emerald one . her black hair be draw into a tight bun . she look distinctly ruffle . how do you know it be I ? she ask . my dear professor , I ve never see a cat sit so stiffly . you d be stiff if you d been sit on a brick wall all day , say professor mcgonagall . all day ? when you could have be celebrate ? I must have pass a dozen feast and party on my way here . professor mcgonagall sniff angrily ."
CHAPTER ONE,18,"""Oh yes, everyone's celebrating, all right,"" she said impatiently. ""You'd think they'd be a bit more careful, but no -- even the Muggles have noticed something's going on. It was on their news."" She jerked her head back at the Dursleys' dark living-room window. ""I heard it. Flocks of owls... shooting stars.... Well, they're not completely stupid. They were bound to notice something. Shooting stars down in Kent -- I'll bet that was Dedalus Diggle. He never had much sense.""

""You can't blame them,"" said Dumbledore gently. ""We've had precious little to celebrate for eleven years.""

""I know that,"" said Professor McGonagall irritably. ""But that's no reason to lose our heads. People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.""","oh yes , everyone celebrate , all right , she say impatiently . you d think they d be a bit more careful , but no even the muggle have notice something go on . it be on their news . she jerk her head back at the dursley dark livingroom window . I hear it . flock of owl ... shoot star .... well , they re not completely stupid . they be bind to notice something . shoot star down in kent ill bet that be dedalus diggle . he never have much sense . you can not blame they , say dumbledore gently . we ve have precious little to celebrate for eleven year . I know that , say professor mcgonagall irritably . but that s no reason to lose our head . people be be downright careless , out on the street in broad daylight , not even dress in muggle clothe , swap rumor ."
CHAPTER ONE,19,"She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn't, so she went on. ""A fine thing it would be if, on the very day YouKnow-Who seems to have disappeared at last, the Muggles found out about us all. I suppose he really has gone, Dumbledore?""

""It certainly seems so,"" said Dumbledore. ""We have much to be thankful for. Would you care for a lemon drop?""

""A what?""

""A lemon drop. They're a kind of Muggle sweet I'm rather fond of""

""No, thank you,"" said Professor McGonagall coldly, as though she didn't think this was the moment for lemon drops. ""As I say, even if You-Know-Who has gone -""","she throw a sharp , sideways glance at dumbledore here , as though hope he be go to tell she something , but he do not , so she go on . a fine thing it would be if , on the very day youknowwho seem to have disappear at last , the muggle find out about we all . I suppose he really have go , dumbledore ? it certainly seem so , say dumbledore . we have much to be thankful for . would you care for a lemon drop ? a what ? a lemon drop . they re a kind of muggle sweet I m rather fond of no , thank you , say professor mcgonagall coldly , as though she do not think this be the moment for lemon drop . as I say , even if youknowwho have go"
CHAPTER ONE,20,"""My dear Professor, surely a sensible person like yourself can call him by his name? All this 'You- Know-Who' nonsense -- for eleven years I have been trying to persuade people to call him by his proper name: Voldemort."" Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice. ""It all gets so confusing if we keep saying 'You-Know-Who.' I have never seen any reason to be frightened of saying Voldemort's name.

""I know you haven 't, said Professor McGonagall, sounding half exasperated, half admiring. ""But you're different. Everyone knows you're the only one You-Know- oh, all right, Voldemort, was frightened of.""

""You flatter me,"" said Dumbledore calmly. ""Voldemort had powers I will never have.""

""Only because you're too -- well -- noble to use them.""

""It's lucky it's dark. I haven't blushed so much since Madam Pomfrey told me she liked my new earmuffs.""","my dear professor , surely a sensible person like yourself can call he by his name ? all this you knowwho nonsense for eleven year I have be try to persuade people to call he by his proper name voldemort . professor mcgonagall flinch , but dumbledore , who be unsticke two lemon drop , seem not to notice . it all get so confusing if we keep say youknowwho . I have never see any reason to be frightened of say voldemort name . I know you haven t , say professor mcgonagall , sound half exasperate , half admire . but you re different . everyone know you re the only one youknow oh , all right , voldemort , be frightened of . you flatter I , say dumbledore calmly . voldemort have power I will never have . only because you re too well noble to use they . its lucky its dark . I have not blush so much since madam pomfrey tell I she like my new earmuff ."
CHAPTER ONE,21,"Professor McGonagall shot a sharp look at Dumbledore and said, ""The owls are nothing next to the rumors that are flying around. You know what everyone's saying? About why he's disappeared? About what finally stopped him?""

It seemed that Professor McGonagall had reached the point she was most anxious to discuss, the real reason she had been waiting on a cold, hard wall all day, for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now. It was plain that whatever ""everyone"" was saying, she was not going to believe it until Dumbledore told her it was true. Dumbledore, however, was choosing another lemon drop and did not answer.

""What they're saying,"" she pressed on, ""is that last night Voldemort turned up in Godric's Hollow. He went to find the Potters. The rumor is that Lily and James Potter are -- are -- that they're -- dead. ""

Dumbledore bowed his head. Professor McGonagall gasped.","professor mcgonagall shoot a sharp look at dumbledore and say , the owl be nothing next to the rumor that be fly around . you know what everyone say ? about why he s disappear ? about what finally stop he ? it seem that professor mcgonagall have reach the point she be most anxious to discuss , the real reason she have be wait on a cold , hard wall all day , for neither as a cat nor as a woman have she fix dumbledore with such a pierce stare as she do now . it be plain that whatever everyone be say , she be not go to believe it until dumbledore tell she it be true . dumbledore , however , be choose another lemon drop and do not answer . what they re say , she press on , be that last night voldemort turn up in godric hollow . he go to find the potter . the rumor be that lily and james potter be be that they re dead . dumbledore bow his head . professor mcgonagall gasp ."
CHAPTER ONE,22,"""Lily and James... I can't believe it... I didn't want to believe it... Oh, Albus...""

Dumbledore reached out and patted her on the shoulder. ""I know... I know..."" he said heavily.

Professor McGonagall's voice trembled as she went on. ""That's not all. They're saying he tried to kill the Potter's son, Harry. But -- he couldn't. He couldn't kill that little boy. No one knows why, or how, but they're saying that when he couldn't kill Harry Potter, Voldemort's power somehow broke -- and that's why he's gone.

Dumbledore nodded glumly.

""It's -- it's true?"" faltered Professor McGonagall. ""After all he's done... all the people he's killed... he couldn't kill a little boy? It's just astounding... of all the things to stop him... but how in the name of heaven did Harry survive?""

""We can only guess,"" said Dumbledore. ""We may never know.""","lily and jame ... I can not believe it ... I do not want to believe it ... oh , albus ... dumbledore reach out and pat she on the shoulder . I know ... I know ... he say heavily . professor mcgonagall voice tremble as she go on . that s not all . they re say he try to kill the potter son , harry . but he could not . he could not kill that little boy . no one know why , or how , but they re say that when he could not kill harry potter , voldemort power somehow break and that s why he s go . dumbledore nod glumly . its its true ? falter professor mcgonagall . after all he s do ... all the people he s kill ... he could not kill a little boy ? its just astounding ... of all the thing to stop he ... but how in the name of heaven do harry survive ? we can only guess , say dumbledore . we may never know ."
CHAPTER ONE,23,"Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles. Dumbledore gave a great sniff as he took a golden watch from his pocket and examined it. It was a very odd watch. It had twelve hands but no numbers; instead, little planets were moving around the edge. It must have made sense to Dumbledore, though, because he put it back in his pocket and said, ""Hagrid's late. I suppose it was he who told you I'd be here, by the way?""

""Yes,"" said Professor McGonagall. ""And I don't suppose you're going to tell me why you're here, of all places?""

""I've come to bring Harry to his aunt and uncle. They're the only family he has left now.""","professor mcgonagall pull out a lace handkerchief and dab at her eye beneath her spectacle . dumbledore give a great sniff as he take a golden watch from his pocket and examine it . it be a very odd watch . it have twelve hand but no number instead , little planet be move around the edge . it must have make sense to dumbledore , though , because he put it back in his pocket and say , hagrid late . I suppose it be he who tell you i d be here , by the way ? yes , say professor mcgonagall . and I do not suppose you re go to tell I why you re here , of all place ? I ve come to bring harry to his aunt and uncle . they re the only family he have leave now ."
CHAPTER ONE,24,"""You don't mean -- you can't mean the people who live here?"" cried Professor McGonagall, jumping to her feet and pointing at number four. ""Dumbledore -- you can't. I've been watching them all day. You couldn't find two people who are less like us. And they've got this son -- I saw him kicking his mother all the way up the street, screaming for sweets. Harry Potter come and live here!""

""It's the best place for him,"" said Dumbledore firmly. ""His aunt and uncle will be able to explain everything to him when he's older. I've written them a letter.""

""A letter?"" repeated Professor McGonagall faintly, sitting back down on the wall. ""Really, Dumbledore, you think you can explain all this in a letter? These people will never understand him! He'll be famous -- a legend -- I wouldn't be surprised if today was known as Harry Potter day in the future -- there will be books written about Harry -- every child in our world will know his name!""","you do not mean you can not mean the people who live here ? cry professor mcgonagall , jump to her foot and point at number four . dumbledore you can not . I ve be watch they all day . you could not find two people who be less like we . and they ve get this son I see he kick his mother all the way up the street , scream for sweet . harry potter come and live here ! its the good place for he , say dumbledore firmly . his aunt and uncle will be able to explain everything to he when he s old . I ve write they a letter . a letter ? repeat professor mcgonagall faintly , sit back down on the wall . really , dumbledore , you think you can explain all this in a letter ? these people will never understand he ! hell be famous a legend I would not be surprised if today be know as harry potter day in the future there will be book write about harry every child in our world will know his name !"
